code_region,region,rang_vaccinal,date_debut_semaine,nb
44,GES,2,2021-05-03,67884
44,GES,1,2021-05-10,185064
44,GES,2,2021-05-10,69947
44,GES,1,2021-05-17,188321
44,GES,2,2021-05-17,47047
44,GES,1,2021-05-24,156835
44,GES,2,2021-05-24,57854
44,GES,1,2021-05-31,152361
44,GES,2,2021-05-31,74652
44,GES,1,2021-06-07,155981
44,GES,2,2021-06-07,99763
44,GES,1,2021-06-14,107660
44,GES,2,2021-06-14,148656
44,GES,1,2021-06-21,78220
44,GES,2,2021-06-21,185908
44,GES,1,2021-06-28,67123
44,GES,2,2021-06-28,189249
44,GES,1,2021-07-05,70229
44,GES,2,2021-07-05,170454
44,GES,1,2021-07-12,80452
44,GES,2,2021-07-12,173587
44,GES,1,2021-07-19,86079
44,GES,2,2021-07-19,165026
44,GES,1,2021-07-26,78739
44,GES,2,2021-07-26,103941
44,GES,1,2021-08-02,39316
44,GES,2,2021-08-02,77972
44,GES,1,2021-08-09,8963
44,GES,2,2021-08-09,71028
03,GUY,1,2021-01-18,403
03,GUY,2,2021-01-18,17
03,GUY,1,2021-01-25,387
03,GUY,2,2021-01-25,8
03,GUY,1,2021-02-01,399
03,GUY,2,2021-02-01,42
03,GUY,1,2021-02-08,382
03,GUY,2,2021-02-08,245
03,GUY,1,2021-02-15,420
03,GUY,2,2021-02-15,441
03,GUY,1,2021-02-22,998
03,GUY,2,2021-02-22,434
03,GUY,1,2021-03-01,1317
03,GUY,2,2021-03-01,401
03,GUY,1,2021-03-08,1298
03,GUY,2,2021-03-08,463
03,GUY,1,2021-03-15,1200
03,GUY,2,2021-03-15,641
03,GUY,1,2021-03-22,812
03,GUY,2,2021-03-22,1200
03,GUY,1,2021-03-29,1125
03,GUY,2,2021-03-29,1482
03,GUY,1,2021-04-05,1905
03,GUY,2,2021-04-05,1325
03,GUY,1,2021-04-12,3410
03,GUY,2,2021-04-12,1547
03,GUY,1,2021-04-19,4144
03,GUY,2,2021-04-19,1280
03,GUY,1,2021-04-26,3597
03,GUY,2,2021-04-26,1745
03,GUY,1,2021-05-03,2539
03,GUY,2,2021-05-03,2262
03,GUY,1,2021-05-10,2006
03,GUY,2,2021-05-10,2646
03,GUY,1,2021-05-17,2249
03,GUY,2,2021-05-17,3043
03,GUY,1,2021-05-24,2642
03,GUY,2,2021-05-24,2775
03,GUY,1,2021-05-31,2346
03,GUY,2,2021-05-31,2141
03,GUY,1,2021-06-07,2010
03,GUY,2,2021-06-07,1978
03,GUY,1,2021-06-14,1826
03,GUY,2,2021-06-14,1966
03,GUY,1,2021-06-21,1614
03,GUY,2,2021-06-21,2070
03,GUY,1,2021-06-28,1548
03,GUY,2,2021-06-28,2041
03,GUY,1,2021-07-05,1496
03,GUY,2,2021-07-05,1825
03,GUY,1,2021-07-12,1899
03,GUY,2,2021-07-12,1743
03,GUY,1,2021-07-19,545
03,GUY,2,2021-07-19,1280
03,GUY,1,2021-07-26,112
03,GUY,2,2021-07-26,1147
03,GUY,1,2021-08-02,69
03,GUY,2,2021-08-02,1049
03,GUY,1,2021-08-09,35
03,GUY,2,2021-08-09,393
32,HDF,1,2021-01-18,1024
32,HDF,1,2021-01-25,517
32,HDF,2,2021-01-25,5
32,HDF,1,2021-02-01,269
32,HDF,2,2021-02-01,157
32,HDF,1,2021-02-08,672
32,HDF,2,2021-02-08,210
32,HDF,1,2021-02-15,904
32,HDF,2,2021-02-15,982
32,HDF,1,2021-02-22,803
32,HDF,2,2021-02-22,466
32,HDF,1,2021-03-01,3158
32,HDF,2,2021-03-01,179
32,HDF,1,2021-03-08,3218
32,HDF,2,2021-03-08,532
32,HDF,1,2021-03-15,70957
32,HDF,2,2021-03-15,9523
32,HDF,1,2021-03-22,90560
32,HDF,2,2021-03-22,23259
32,HDF,1,2021-03-29,84291
32,HDF,2,2021-03-29,56309
32,HDF,1,2021-04-05,74247
32,HDF,2,2021-04-05,72720
32,HDF,1,2021-04-12,77135
32,HDF,2,2021-04-12,84467
32,HDF,1,2021-04-19,69239
32,HDF,2,2021-04-19,88538
32,HDF,1,2021-04-26,108776
32,HDF,2,2021-04-26,77783
32,HDF,1,2021-05-03,158157
32,HDF,2,2021-05-03,68896
32,HDF,1,2021-05-10,253431
32,HDF,2,2021-05-10,52289
32,HDF,1,2021-05-17,257900
32,HDF,2,2021-05-17,30436
32,HDF,1,2021-05-24,189859
32,HDF,2,2021-05-24,43583
32,HDF,1,2021-05-31,169586
32,HDF,2,2021-05-31,66486
32,HDF,1,2021-06-07,124064
32,HDF,2,2021-06-07,109763
32,HDF,1,2021-06-14,97961
32,HDF,2,2021-06-14,161411
32,HDF,1,2021-06-21,68520
32,HDF,2,2021-06-21,246484
32,HDF,1,2021-06-28,70754
32,HDF,2,2021-06-28,245065
32,HDF,1,2021-07-05,85001
32,HDF,2,2021-07-05,191912
32,HDF,1,2021-07-12,99658
32,HDF,2,2021-07-12,177222
32,HDF,1,2021-07-19,103506
32,HDF,2,2021-07-19,146675
32,HDF,1,2021-07-26,79439
32,HDF,2,2021-07-26,98006
32,HDF,1,2021-08-02,47619
32,HDF,2,2021-08-02,80732
32,HDF,1,2021-08-09,15665
32,HDF,2,2021-08-09,70444
11,IDF,1,2021-01-18,2311
11,IDF,2,2021-01-18,5
11,IDF,1,2021-01-25,2146
11,IDF,2,2021-01-25,11
11,IDF,1,2021-02-01,2020
11,IDF,2,2021-02-01,480
11,IDF,1,2021-02-08,918
11,IDF,2,2021-02-08,502
11,IDF,1,2021-02-15,917
11,IDF,2,2021-02-15,1953
11,IDF,1,2021-02-22,904
11,IDF,2,2021-02-22,2097
11,IDF,1,2021-03-01,6678
11,IDF,2,2021-03-01,2374
11,IDF,1,2021-03-08,7079
11,IDF,2,2021-03-08,1460
11,IDF,1,2021-03-15,88620
11,IDF,2,2021-03-15,8084
11,IDF,1,2021-03-22,157459
11,IDF,2,2021-03-22,16215
11,IDF,1,2021-03-29,128087
11,IDF,2,2021-03-29,87461
11,IDF,1,2021-04-05,124031
11,IDF,2,2021-04-05,86612
11,IDF,1,2021-04-12,122163
11,IDF,2,2021-04-12,120743
11,IDF,1,2021-04-19,157663
11,IDF,2,2021-04-19,148974
11,IDF,1,2021-04-26,224749
11,IDF,2,2021-04-26,117252
11,IDF,1,2021-05-03,334027
11,IDF,2,2021-05-03,129276
11,IDF,1,2021-05-10,436884
11,IDF,2,2021-05-10,86981
11,IDF,1,2021-05-17,544390
11,IDF,2,2021-05-17,32777
11,IDF,1,2021-05-24,455189
11,IDF,2,2021-05-24,76681
11,IDF,1,2021-05-31,435002
11,IDF,2,2021-05-31,174690
11,IDF,1,2021-06-07,365335
11,IDF,2,2021-06-07,248046
11,IDF,1,2021-06-14,253411
11,IDF,2,2021-06-14,368089
11,IDF,1,2021-06-21,198306
11,IDF,2,2021-06-21,483508
11,IDF,1,2021-06-28,187200
11,IDF,2,2021-06-28,532369
11,IDF,1,2021-07-05,202743
11,IDF,2,2021-07-05,466452
11,IDF,1,2021-07-12,236513
11,IDF,2,2021-07-12,441360
11,IDF,1,2021-07-19,221834
11,IDF,2,2021-07-19,366817
11,IDF,1,2021-07-26,131168
11,IDF,2,2021-07-26,231753
11,IDF,1,2021-08-02,48924
11,IDF,2,2021-08-02,167703
11,IDF,1,2021-08-09,18603
11,IDF,2,2021-08-09,137532
02,MAR,1,2021-03-15,180
02,MAR,2,2021-03-15,40
02,MAR,1,2021-03-22,334
02,MAR,2,2021-03-22,83
02,MAR,1,2021-03-29,449
02,MAR,2,2021-03-29,128
02,MAR,1,2021-04-05,247
02,MAR,2,2021-04-05,300
02,MAR,1,2021-04-12,1157
02,MAR,2,2021-04-12,360
02,MAR,1,2021-04-19,1525
02,MAR,2,2021-04-19,345
02,MAR,1,2021-04-26,1137
02,MAR,2,2021-04-26,457
02,MAR,1,2021-05-03,1124
02,MAR,2,2021-05-03,729
02,MAR,1,2021-05-10,941
02,MAR,2,2021-05-10,1532
02,MAR,1,2021-05-17,1510
02,MAR,2,2021-05-17,2442
02,MAR,1,2021-05-24,833
02,MAR,2,2021-05-24,2407
02,MAR,1,2021-05-31,847
02,MAR,2,2021-05-31,1777
02,MAR,1,2021-06-07,880
02,MAR,2,2021-06-07,2320
02,MAR,1,2021-06-14,1205
02,MAR,2,2021-06-14,2025
02,MAR,1,2021-06-21,943
02,MAR,2,2021-06-21,2004
02,MAR,1,2021-06-28,831
02,MAR,2,2021-06-28,1578
02,MAR,1,2021-07-05,1378
02,MAR,2,2021-07-05,1576
02,MAR,1,2021-07-12,3163
02,MAR,2,2021-07-12,1961
02,MAR,1,2021-07-19,1135
02,MAR,2,2021-07-19,1892
02,MAR,1,2021-07-26,234
02,MAR,2,2021-07-26,2019
02,MAR,1,2021-08-02,158
02,MAR,2,2021-08-02,2072
02,MAR,1,2021-08-09,63
02,MAR,2,2021-08-09,624
75,NAQ,1,2021-01-18,1804
75,NAQ,2,2021-01-18,4
75,NAQ,1,2021-01-25,1490
75,NAQ,2,2021-01-25,12
75,NAQ,1,2021-02-01,1404
75,NAQ,2,2021-02-01,24
75,NAQ,1,2021-02-08,1312
75,NAQ,2,2021-02-08,89
75,NAQ,1,2021-02-15,139
75,NAQ,2,2021-02-15,927
75,NAQ,1,2021-02-22,659
75,NAQ,2,2021-02-22,1062
75,NAQ,1,2021-03-01,794
75,NAQ,2,2021-03-01,799
